anio,entidad,edad_quinquenal,sexo,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,fecha
2011,BAJA CALIFORNIA SUR,45 a 49 años,No especificado,0.0,,,,,,,,,,2011-12-31
2011,BAJA CALIFORNIA SUR,5 a 9 años,Femenino,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-12-31
2011,BAJA CALIFORNIA SUR,5 a 9 años,Masculino,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2011-12-31
2011,BAJA CALIFORNIA SUR,5 a 9 años,No especificado,0.0,,,,,,,,,,2011-12-31
2011,BAJA CALIFORNIA SUR,50 a 54 años,Femenino,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2011-12-31
2011,BAJA CALIFORNIA SUR,50 a 54 años,Masculino,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2011-12-31
2011,BAJA CALIFORNIA SUR,50 a 54 años,No especificado,0.0,,,,,,,,,,2011-12-31
2011,BAJA CALIFORNIA SUR,55 a 59 años,Femenino,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2011-12-31
2011,BAJA CALIFORNIA SUR,55 a 59 años,Masculino,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-12-31
2011,BAJA CALIFORNIA SUR,55 a 59 años,No especificado,0.0,,,,,,,,,,2011-12-31
2011,BAJA CALIFORNIA SUR,60 a 64 años,Femenino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-12-31
2011,BAJA CALIFORNIA SUR,60 a 64 años,Masculino,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-12-31
2011,BAJA CALIFORNIA SUR,60 a 64 años,No especificado,0.0,,,,,,,,,,2011-12-31
2011,BAJA CALIFORNIA SUR,75 a 79 años,Femenino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-12-31
2011,BAJA CALIFORNIA SUR,75 a 79 años,Masculino,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-12-31
2011,BAJA CALIFORNIA SUR,75 a 79 años,No especificado,0.0,,,,,,,,,,2011-12-31
2011,BAJA CALIFORNIA SUR,Menores de 1 año,Femenino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-12-31
2011,BAJA CALIFORNIA SUR,Menores de 1 año,Masculino,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-12-31
2011,BAJA CALIFORNIA SUR,Menores de 1 año,No especificado,0.0,,,,,,,,,,2011-12-31
2011,BAJA CALIFORNIA SUR,No especificado,Femenino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-12-31
2011,BAJA CALIFORNIA SUR,No especificado,Masculino,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-12-31
2011,BAJA CALIFORNIA SUR,No especificado,No especificado,0.0,,,,,,,,,,2011-12-31
