anio,entidad,grupo_etario,sexo,ansiedad,demencia,depresion,total,trastorno_bipolar,trastorno_discapacidad_intelectual,trastorno_estres_postraumatico,trastorno_espectro_autista,deficit_atencion_hiperactividad,trastorno_psicotico,trastorno_conducta_infancia_adolescencia,entidad_etq
2024,DURANGO,15 A 19 AÑOS,HOMBRES,42,0,49,153,8,3,3,6,7,5,30,Durango
2024,DURANGO,15 A 19 AÑOS,MUJERES,121,0,102,314,30,0,9,1,5,2,44,Durango
2024,DURANGO,20 A 29 AÑOS,HOMBRES,191,0,41,299,17,10,8,8,4,20,0,Durango
2024,DURANGO,20 A 29 AÑOS,MUJERES,492,0,167,717,39,1,8,2,0,8,0,Durango
2024,DURANGO,30 A 49 AÑOS,HOMBRES,296,0,91,483,45,8,2,0,0,41,0,Durango
2024,DURANGO,30 A 49 AÑOS,MUJERES,961,0,300,1383,88,4,15,0,0,15,0,Durango
2024,DURANGO,5 A 9 AÑOS,HOMBRES,44,0,16,190,0,4,0,17,40,0,69,Durango
2024,DURANGO,5 A 9 AÑOS,MUJERES,53,0,14,122,1,1,0,5,17,0,31,Durango
2024,DURANGO,50 A 59 AÑOS,HOMBRES,118,0,36,212,43,1,4,1,0,9,0,Durango
2024,DURANGO,50 A 59 AÑOS,MUJERES,334,2,134,520,30,2,8,1,0,9,0,Durango
2024,DURANGO,60 AÑOS Y MÁS,HOMBRES,131,8,53,239,24,0,5,0,0,18,0,Durango
2024,DURANGO,60 AÑOS Y MÁS,MUJERES,296,25,126,485,27,0,4,0,0,7,0,Durango
2024,ESTADO DE MÉXICO,10 A 14 AÑOS,HOMBRES,1378,0,357,3255,3,142,16,98,275,9,977,Estado de México
2024,ESTADO DE MÉXICO,10 A 14 AÑOS,MUJERES,2093,0,775,3860,3,101,46,32,113,8,689,Estado de México
2024,ESTADO DE MÉXICO,15 A 19 AÑOS,HOMBRES,438,0,501,1459,1,95,24,47,68,22,263,Estado de México
2024,ESTADO DE MÉXICO,15 A 19 AÑOS,MUJERES,1179,0,1427,3050,5,68,59,10,35,21,246,Estado de México
2024,ESTADO DE MÉXICO,20 A 29 AÑOS,HOMBRES,1360,1,402,2044,13,133,39,22,4,70,0,Estado de México
2024,ESTADO DE MÉXICO,20 A 29 AÑOS,MUJERES,4696,1,2068,7072,16,129,88,8,1,65,0,Estado de México
2024,ESTADO DE MÉXICO,30 A 49 AÑOS,HOMBRES,2048,0,548,3007,25,166,45,6,5,164,0,Estado de México
2024,ESTADO DE MÉXICO,30 A 49 AÑOS,MUJERES,6848,5,2861,10207,53,184,135,8,2,111,0,Estado de México
2024,ESTADO DE MÉXICO,5 A 9 AÑOS,HOMBRES,735,0,87,2649,1,140,12,296,384,13,981,Estado de México
2024,ESTADO DE MÉXICO,5 A 9 AÑOS,MUJERES,677,0,85,1602,0,74,15,61,154,3,533,Estado de México
2024,ESTADO DE MÉXICO,50 A 59 AÑOS,HOMBRES,737,12,268,1155,17,58,22,1,0,40,0,Estado de México
2024,ESTADO DE MÉXICO,50 A 59 AÑOS,MUJERES,2403,9,1316,3929,32,55,61,2,0,51,0,Estado de México
2024,ESTADO DE MÉXICO,60 AÑOS Y MÁS,HOMBRES,680,91,383,1251,6,21,25,0,1,44,0,Estado de México
2024,ESTADO DE MÉXICO,60 AÑOS Y MÁS,MUJERES,2023,159,1480,3811,23,25,33,1,1,66,0,Estado de México
2024,GUANAJUATO,10 A 14 AÑOS,HOMBRES,1197,0,587,2749,3,132,42,80,232,13,463,Guanajuato
2024,GUANAJUATO,10 A 14 AÑOS,MUJERES,1924,0,1307,3836,5,117,45,21,36,11,370,Guanajuato
2024,GUANAJUATO,15 A 19 AÑOS,HOMBRES,336,0,459,1153,7,57,38,24,22,13,197,Guanajuato
2024,GUANAJUATO,15 A 19 AÑOS,MUJERES,1180,0,1673,3273,11,47,55,5,8,20,274,Guanajuato
2024,GUANAJUATO,20 A 29 AÑOS,HOMBRES,942,1,386,1546,34,59,19,22,1,82,0,Guanajuato
2024,GUANAJUATO,20 A 29 AÑOS,MUJERES,4162,0,1979,6363,69,48,55,6,0,44,0,Guanajuato
2024,GUANAJUATO,30 A 49 AÑOS,HOMBRES,1273,0,463,2028,70,41,36,3,0,142,0,Guanajuato
2024,GUANAJUATO,30 A 49 AÑOS,MUJERES,5585,6,2693,8789,217,58,119,0,0,111,0,Guanajuato
2024,GUANAJUATO,5 A 9 AÑOS,HOMBRES,583,0,126,2162,1,142,19,302,493,21,475,Guanajuato
2024,GUANAJUATO,5 A 9 AÑOS,MUJERES,547,0,83,1205,2,94,23,48,115,7,286,Guanajuato
2024,GUANAJUATO,50 A 59 AÑOS,HOMBRES,509,9,234,884,65,11,14,1,0,41,0,Guanajuato
2024,GUANAJUATO,50 A 59 AÑOS,MUJERES,1839,5,1131,3179,95,15,45,0,0,49,0,Guanajuato
2024,GUANAJUATO,60 AÑOS Y MÁS,HOMBRES,467,51,291,888,41,4,6,0,0,28,0,Guanajuato
2024,GUANAJUATO,60 AÑOS Y MÁS,MUJERES,1325,76,1091,2612,47,7,27,1,0,38,0,Guanajuato
